Timezone,State,city
 Central Daylight Time ,Alabama,Lower Peach Tree
 Central Daylight Time ,Alabama,Lowndesboro  
 Central Daylight Time ,Alabama,Loxley  
 Central Daylight Time ,Alabama,Luverne  
 Central Daylight Time ,Alabama,Lynn  
 Central Daylight Time ,Alabama,Madison  
 Central Daylight Time ,Alabama,Madison  
 Central Daylight Time ,Alabama,Magnolia  
 Central Daylight Time ,Alabama,Magnolia Springs 
 Central Daylight Time ,Alabama,Malcolm  
 Central Daylight Time ,Alabama,Malvern  
 Central Daylight Time ,Alabama,Maplesville  
 Central Daylight Time ,Alabama,Marbury  
 Central Daylight Time ,Alabama,Margaret  
 Central Daylight Time ,Alabama,Marion  
 Central Daylight Time ,Alabama,Marion Junction 
 Central Daylight Time ,Alabama,Mathews  
 Central Daylight Time ,Alabama,Maylene  
 Central Daylight Time ,Alabama,Mc Calla 
 Central Daylight Time ,Alabama,Mc Intosh 
 Central Daylight Time ,Alabama,Mc Kenzie 
 Central Daylight Time ,Alabama,Mc Shan 
 Central Daylight Time ,Alabama,Mc Williams 
 Central Daylight Time ,Alabama,Megargel  
 Central Daylight Time ,Alabama,Melvin  
 Central Daylight Time ,Alabama,Mentone  
 Central Daylight Time ,Alabama,Meridianville  
 Central Daylight Time ,Alabama,Mexia  
 Central Daylight Time ,Alabama,Midland City 
 Central Daylight Time ,Alabama,Midway  
 Central Daylight Time ,Alabama,Millbrook  
 Central Daylight Time ,Alabama,Millerville  
 Central Daylight Time ,Alabama,Millport  
 Central Daylight Time ,Alabama,Millry  
 Central Daylight Time ,Alabama,Minter  
 Central Daylight Time ,Alabama,Mobile  
 Central Daylight Time ,Alabama,Monroeville  
 Central Daylight Time ,Alabama,Montevallo  
 Central Daylight Time ,Alabama,Montgomery  
 Central Daylight Time ,Alabama,Montrose  
 Central Daylight Time ,Alabama,Moody  
 Central Daylight Time ,Alabama,Mooresville  
 Central Daylight Time ,Alabama,Morris  
 Central Daylight Time ,Alabama,Morvin  
 Central Daylight Time ,Alabama,Moulton  
 Central Daylight Time ,Alabama,Moundville  
 Central Daylight Time ,Alabama,Mount Hope 
 Central Daylight Time ,Alabama,Mount Meigs 
 Central Daylight Time ,Alabama,Mount Olive 
 Central Daylight Time ,Alabama,Mount Vernon 
 Central Daylight Time ,Alabama,Mulga  
 Central Daylight Time ,Alabama,Munford  
 Central Daylight Time ,Alabama,Muscadine  
 Central Daylight Time ,Alabama,Muscle Shoals 
 Central Daylight Time ,Alabama,Myrtlewood  
 Central Daylight Time ,Alabama,Nanafalia  
 Central Daylight Time ,Alabama,Natural Bridge 
 Central Daylight Time ,Alabama,Nauvoo  
 Central Daylight Time ,Alabama,Needham  
 Central Daylight Time ,Alabama,New Brockton 
 Central Daylight Time ,Alabama,New Castle 
 Central Daylight Time ,Alabama,New Hope 
 Central Daylight Time ,Alabama,New Market 
 Central Daylight Time ,Alabama,Newbern  
 Central Daylight Time ,Alabama,Newton  
 Central Daylight Time ,Alabama,Newville  
 Central Daylight Time ,Alabama,Normal  
 Central Daylight Time ,Alabama,Northport  
 Central Daylight Time ,Alabama,Notasulga  
 Central Daylight Time ,Alabama,Oak Hill 
 Central Daylight Time ,Alabama,Oakman  
 Central Daylight Time ,Alabama,Odenville  
 Central Daylight Time ,Alabama,Ohatchee  
 Central Daylight Time ,Alabama,Oneonta  
 Central Daylight Time ,Alabama,Opelika  
 Central Daylight Time ,Alabama,Opp  
 Central Daylight Time ,Alabama,Orange Beach 
 Central Daylight Time ,Alabama,Orrville  
 Central Daylight Time ,Alabama,Owens Cross Roads
 Central Daylight Time ,Alabama,Oxford  
 Central Daylight Time ,Alabama,Ozark  
 Central Daylight Time ,Alabama,Paint Rock 
 Central Daylight Time ,Alabama,Palmerdale  
 Central Daylight Time ,Alabama,Panola  
 Central Daylight Time ,Alabama,Pansey  
 Central Daylight Time ,Alabama,Parrish  
 Central Daylight Time ,Alabama,Pelham  
 Central Daylight Time ,Alabama,Pell City 
 Central Daylight Time ,Alabama,Pennington  
 Central Daylight Time ,Alabama,Perdido  
 Central Daylight Time ,Alabama,Perdue Hill 
 Central Daylight Time ,Alabama,Perote  
 Central Daylight Time ,Alabama,Peterman  
 Central Daylight Time ,Alabama,Peterson  
 Central Daylight Time ,Alabama,Petrey  
 Central Daylight Time ,Alabama,Phenix City 
 Central Daylight Time ,Alabama,Phenix City 
 Central Daylight Time ,Alabama,Phil Campbell 
 Central Daylight Time ,Alabama,Piedmont  
 Central Daylight Time ,Alabama,Pike Road 
 Central Daylight Time ,Alabama,Pinckard  
 Central Daylight Time ,Alabama,Pine Apple 
 Central Daylight Time ,Alabama,Pine Hill 
 Central Daylight Time ,Alabama,Pine Level 
 Central Daylight Time ,Alabama,Pinson  
 Central Daylight Time ,Alabama,Pisgah  
 Central Daylight Time ,Alabama,Pittsview  
 Central Daylight Time ,Alabama,Plantersville  
 Central Daylight Time ,Alabama,Pleasant Grove 
 Central Daylight Time ,Alabama,Point Clear 
 Central Daylight Time ,Alabama,Prattville  
 Central Daylight Time ,Alabama,Princeton  
 Central Daylight Time ,Alabama,Quinton  
 Central Daylight Time ,Alabama,Ragland  
 Central Daylight Time ,Alabama,Rainsville  
 Central Daylight Time ,Alabama,Ralph  
 Central Daylight Time ,Alabama,Ramer  
 Central Daylight Time ,Alabama,Ranburne  
 Central Daylight Time ,Alabama,Randolph  
 Central Daylight Time ,Alabama,Range  
 Central Daylight Time ,Alabama,Red Bay 
 Central Daylight Time ,Alabama,Red Level 
 Central Daylight Time ,Alabama,Reform  
 Central Daylight Time ,Alabama,Remlap  
 Central Daylight Time ,Alabama,Repton  
 Central Daylight Time ,Alabama,River Falls 
 Central Daylight Time ,Alabama,Riverside  
 Central Daylight Time ,Alabama,Roanoke  
 Central Daylight Time ,Alabama,Robertsdale  
 Central Daylight Time ,Alabama,Rockford  
 Central Daylight Time ,Alabama,Rogersville  
 Central Daylight Time ,Alabama,Russellville  
 Central Daylight Time ,Alabama,Rutledge  
 Central Daylight Time ,Alabama,Ryland  
 Central Daylight Time ,Alabama,Safford  
 Central Daylight Time ,Alabama,Saginaw  
 Central Daylight Time ,Alabama,Saint Elmo 
 Central Daylight Time ,Alabama,Saint Stephens 
 Central Daylight Time ,Alabama,Salem  
 Central Daylight Time ,Alabama,Samantha  
 Central Daylight Time ,Alabama,Samson  
 Central Daylight Time ,Alabama,Saraland  
 Central Daylight Time ,Alabama,Sardis  
 Central Daylight Time ,Alabama,Satsuma  
 Central Daylight Time ,Alabama,Sawyerville  
 Central Daylight Time ,Alabama,Sayre  
 Central Daylight Time ,Alabama,Scottsboro  
 Central Daylight Time ,Alabama,Seale  
 Central Daylight Time ,Alabama,Section  
 Central Daylight Time ,Alabama,Selma  
 Central Daylight Time ,Alabama,Seminole  
 Central Daylight Time ,Alabama,Semmes  
 Central Daylight Time ,Alabama,Shannon  
 Central Daylight Time ,Alabama,Sheffield  
 Central Daylight Time ,Alabama,Shelby  
 Central Daylight Time ,Alabama,Shorter  
 Central Daylight Time ,Alabama,Shorterville  
 Central Daylight Time ,Alabama,Silas  
 Central Daylight Time ,Alabama,Siluria  
 Central Daylight Time ,Alabama,Silverhill  
 Central Daylight Time ,Alabama,Sipsey  
 Central Daylight Time ,Alabama,Skipperville  
 Central Daylight Time ,Alabama,Slocomb  
 Central Daylight Time ,Alabama,Smiths Station 
 Central Daylight Time ,Alabama,Somerville  
 Central Daylight Time ,Alabama,Spanish Fort 
 Central Daylight Time ,Alabama,Spring Garden 
 Central Daylight Time ,Alabama,Springville  
 Central Daylight Time ,Alabama,Spruce Pine 
 Central Daylight Time ,Alabama,Stanton  
 Central Daylight Time ,Alabama,Stapleton  
 Central Daylight Time ,Alabama,Steele  
 Central Daylight Time ,Alabama,Sterrett  
 Central Daylight Time ,Alabama,Stevenson  
 Central Daylight Time ,Alabama,Stockton  
 Central Daylight Time ,Alabama,Sulligent  
 Central Daylight Time ,Alabama,Sumiton  
 Central Daylight Time ,Alabama,Summerdale  
 Central Daylight Time ,Alabama,Sunflower  
 Central Daylight Time ,Alabama,Sweet Water 
 Central Daylight Time ,Alabama,Sycamore  
 Central Daylight Time ,Alabama,Sylacauga  
 Central Daylight Time ,Alabama,Sylvania  
 Central Daylight Time ,Alabama,Talladega  
 Central Daylight Time ,Alabama,Tallassee  
 Central Daylight Time ,Alabama,Tanner  
 Central Daylight Time ,Alabama,Theodore  
 Central Daylight Time ,Alabama,Thomaston  
 Central Daylight Time ,Alabama,Thomasville  
 Central Daylight Time ,Alabama,Thorsby  
 Central Daylight Time ,Alabama,Tibbie  
 Central Daylight Time ,Alabama,Titus  
 Central Daylight Time ,Alabama,Toney  
 Central Daylight Time ,Alabama,Town Creek 
 Central Daylight Time ,Alabama,Townley  
 Central Daylight Time ,Alabama,Toxey  
 Central Daylight Time ,Alabama,Trafford  
 Central Daylight Time ,Alabama,Trenton  
 Central Daylight Time ,Alabama,Trinity  
 Central Daylight Time ,Alabama,Troy  
 Central Daylight Time ,Alabama,Trussville  
 Central Daylight Time ,Alabama,Tuscaloosa  
 Central Daylight Time ,Alabama,Tuscumbia  
 Central Daylight Time ,Alabama,Tuskegee  
 Central Daylight Time ,Alabama,Tuskegee Institute 
 Central Daylight Time ,Alabama,Tyler  
 Central Daylight Time ,Alabama,Union Grove 
 Central Daylight Time ,Alabama,Union Springs 
 Central Daylight Time ,Alabama,Uniontown  
 Central Daylight Time ,Alabama,Uriah  
 Central Daylight Time ,Alabama,Valhermoso Springs 
 Central Daylight Time ,Alabama,Valley  
 Central Daylight Time ,Alabama,Valley  
 Central Daylight Time ,Alabama,Valley Head 
 Central Daylight Time ,Alabama,Vance  
 Central Daylight Time ,Alabama,Vandiver  
 Central Daylight Time ,Alabama,Verbena  
 Central Daylight Time ,Alabama,Vernon  
 Central Daylight Time ,Alabama,Vina  
 Central Daylight Time ,Alabama,Vincent  
 Central Daylight Time ,Alabama,Vinegar Bend 
 Central Daylight Time ,Alabama,Vinemont  
 Central Daylight Time ,Alabama,Vredenburgh  
 Central Daylight Time ,Alabama,Wadley  
 Central Daylight Time ,Alabama,Wagarville  
 Central Daylight Time ,Alabama,Walnut Grove 
 Central Daylight Time ,Alabama,Ward  
 Central Daylight Time ,Alabama,Warrior  
 Central Daylight Time ,Alabama,Waterloo  
 Central Daylight Time ,Alabama,Watson  
 Central Daylight Time ,Alabama,Wattsville  
 Central Daylight Time ,Alabama,Waverly  
 Central Daylight Time ,Alabama,Weaver  
 Central Daylight Time ,Alabama,Webb  
 Central Daylight Time ,Alabama,Wedowee  
 Central Daylight Time ,Alabama,Wellington  
 Central Daylight Time ,Alabama,Weogufka  
 Central Daylight Time ,Alabama,West Blocton 
 Central Daylight Time ,Alabama,West Greene 
 Central Daylight Time ,Alabama,Westover  
 Central Daylight Time ,Alabama,Wetumpka  
 Central Daylight Time ,Alabama,Whatley  
 Central Daylight Time ,Alabama,Wilmer  
 Central Daylight Time ,Alabama,Wilsonville  
 Central Daylight Time ,Alabama,Wilton  
 Central Daylight Time ,Alabama,Winfield  
 Central Daylight Time ,Alabama,Wing  
 Central Daylight Time ,Alabama,Woodland  
 Central Daylight Time ,Alabama,Woodstock  
 Central Daylight Time ,Alabama,Woodville  
 Central Daylight Time,Alabama,York  
